City,Date,Year,Month,Month_Name,Quarter_Label,Day,Day_Name,Season,Is_Weekend,Week_of_Year,Year_Month,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Pollution_Index,Pollution_Index_Band,PM25_PM10_Ratio,NO2_NOx_Ratio,Pollutants_Above_City_Q3,City_Pollutant_Percentile,AQI_Rolling_7,AQI_Rolling_30,AQI_Change_1d,Cluster,PC1,PC2,Anomaly,Anomaly_Label,Anomaly_Score,Cluster_Description,Is_Extreme_PM_Episode
Bangalore,2015-01-01,2015,1,January,Q1,1,Thursday,Winter,0,1,2015-01,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor,46.94,Medium,1.4579439252336448,0.20032310177705978,3,47.1,339.8,339.8,,0,0.9368250609374499,1.9254591405669996,0.0,Normal,-0.54204,highest average PM2.5 among clusters,0
Bangalore,2015-01-02,2015,1,January,Q1,2,Friday,Winter,0,1,2015-01,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,267.5,Poor,45.65,Medium,0.07086614173228346,0.4766997708174178,2,45.7,303.65,303.65,-72.30000000000001,0,2.2322310758651813,-0.3027343198677053,0.0,Normal,-0.54136,highest average PM2.5 among clusters,0
Bangalore,2015-01-03,2015,1,January,Q1,3,Saturday,Winter,1,1,2015-01,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,419.3,Severe,60.81,High,3.852646638054363,0.46249999999999997,2,61.0,342.2,342.2,151.8,1,-1.5977530629168615,-1.3804780845290576,0.0,Normal,-0.52524,lowest average PM2.5 among clusters,0
Bangalore,2015-01-04,2015,1,January,Q1,4,Sunday,Winter,1,1,2015-01,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor,55.32,Medium,0.1897193101115996,2.7206703910614523,2,55.2,318.075,318.075,-173.60000000000002,0,0.5023928409743833,-0.17002017006950726,0.0,Normal,-0.50179,highest average PM2.5 among clusters,0
Bangalore,2015-01-05,2015,1,January,Q1,5,Monday,Winter,0,2,2015-01,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,413.8,Severe,33.41,Low,0.8215509187169105,0.84375,0,33.4,337.21999999999997,337.21999999999997,168.10000000000002,0,0.3121314176393037,0.4125377566920706,0.0,Normal,-0.52317,highest average PM2.5 among clusters,0
Bangalore,2015-01-06,2015,1,January,Q1,6,Tuesday,Winter,0,2,2015-01,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,118.9,Moderate,52.3,Medium,0.8631915318554024,12.430769230769231,4,52.1,300.8333333333333,300.8333333333333,-294.9,0,1.3912088113383356,1.4340521204424774,0.0,Normal,-0.55443,highest average PM2.5 among clusters,0
Bangalore,2015-01-07,2015,1,January,Q1,7,Wednesday,Winter,0,2,2015-01,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,302.5,Very Poor,54.11,Medium,0.21073388203017832,5.3786764705882355,2,54.3,301.07142857142856,301.07142857142856,183.6,0,1.9235469491683983,-0.125943680139428,0.0,Normal,-0.52381,highest average PM2.5 among clusters,0
Bangalore,2015-01-08,2015,1,January,Q1,8,Thursday,Winter,0,2,2015-01,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,192.0,Moderate,41.28,Medium,1.7225725094577553,0.4118811881188119,1,41.6,279.95714285714286,287.4375,-110.5,0,-0.6476476346734128,0.09544318111144207,0.0,Normal,-0.48212,highest average PM2.5 among clusters,0
Bangalore,2015-01-09,2015,1,January,Q1,9,Friday,Winter,0,2,2015-01,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,220.7,Poor,53.84,Medium,0.28740302918359806,0.34224049331962997,2,53.9,273.2714285714286,280.0222222222222,28.69999999999999,1,0.6434548100479595,-0.02731176632321955,0.0,Normal,-0.48033,lowest average PM2.5 among clusters,0
Bangalore,2015-01-10,2015,1,January,Q1,10,Saturday,Winter,1,2,2015-01,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,443.8,Severe,46.18,Medium,0.9750434027777778,0.05436893203883495,3,46.5,276.77142857142854,296.4,223.10000000000002,0,-0.35547300631915757,1.3268657115930906,0.0,Normal,-0.55605,highest average PM2.5 among clusters,0
Bangalore,2015-01-11,2015,1,January,Q1,11,Sunday,Winter,1,2,2015-01,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,191.5,Moderate,63.46,High,1.9831365935919056,0.3592162554426705,5,63.5,269.0285714285714,286.8636363636364,-252.3,1,-1.467309613219083,2.46937908342316,0.0,Normal,-0.53842,lowest average PM2.5 among clusters,0
Bangalore,2015-01-12,2015,1,January,Q1,12,Monday,Winter,0,3,2015-01,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,402.1,Severe,56.37,Medium,0.3200555812876331,0.25997782705099776,0,56.3,267.35714285714283,296.46666666666664,210.60000000000002,1,0.6566031045068408,-0.21269677941404921,0.0,Normal,-0.45936,lowest average PM2.5 among clusters,0
Bangalore,2015-01-13,2015,1,January,Q1,13,Tuesday,Winter,0,3,2015-01,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,320.7,Very Poor,34.93,Low,2.4655462184873946,0.14703237410071943,1,34.9,296.1857142857143,298.33076923076925,-81.40000000000003,1,-0.24535633633305623,-0.43674717689940207,0.0,Normal,-0.5081,lowest average PM2.5 among clusters,0
Bangalore,2015-01-14,2015,1,January,Q1,14,Wednesday,Winter,0,3,2015-01,487.0,70.9,173.6,53.5,249.2,5.6,6.43,75.5,24.0,155.3,Moderate,54.93,Medium,6.868829337094499,0.21468699839486358,4,54.8,275.15714285714284,288.1142857142857,-165.39999999999998,1,-1.1121686806902715,0.1418700812894318,0.0,Normal,-0.55535,lowest average PM2.5 among clusters,0
Bangalore,2015-01-15,2015,1,January,Q1,15,Thursday,Winter,0,3,2015-01,415.9,429.8,76.9,140.1,147.9,29.8,1.46,30.9,135.4,399.7,Very Poor,57.63,Medium,0.9676593764541647,0.947261663286004,2,57.6,304.8285714285715,295.55333333333334,244.39999999999998,1,-0.6641077353372086,-0.3473716507906295,0.0,Normal,-0.49693,lowest average PM2.5 among clusters,0
Bangalore,2015-01-16,2015,1,January,Q1,16,Friday,Winter,0,3,2015-01,198.2,108.9,139.3,102.7,238.4,7.9,9.48,8.2,59.1,360.2,Very Poor,48.85,Medium,1.8200183654729107,0.43078859060402686,2,49.1,324.75714285714287,299.59375,-39.5,1,-1.5761083146920079,-2.2688592097331486,0.0,Normal,-0.53549,lowest average PM2.5 among clusters,0
Bangalore,2015-01-17,2015,1,January,Q1,17,Saturday,Winter,1,3,2015-01,368.9,476.1,131.9,90.5,186.7,8.4,6.73,41.4,5.3,465.7,Severe,53.58,Medium,0.7748372190716235,0.48473486877343336,1,53.3,327.88571428571424,309.36470588235295,105.5,1,0.09623446391519098,-1.0656597197661366,0.0,Normal,-0.49975,lowest average PM2.5 among clusters,0
Bangalore,2015-01-18,2015,1,January,Q1,18,Sunday,Winter,1,3,2015-01,14.0,456.9,88.4,112.2,166.8,16.0,8.68,11.9,27.3,438.2,Severe,45.45,Medium,0.030641278179032613,0.672661870503597,2,45.3,363.12857142857143,316.5222222222222,-27.5,1,0.4221587834783921,-2.475047249812989,0.0,Normal,-0.52548,lowest average PM2.5 among clusters,0
Bangalore,2015-01-19,2015,1,January,Q1,19,Monday,Winter,0,4,2015-01,306.8,78.0,43.2,115.6,95.1,30.5,3.47,0.8,140.9,456.8,Severe,42.0,Medium,3.9333333333333336,1.2155625657202944,1,42.2,370.9428571428571,323.90526315789475,18.600000000000023,0,-1.6794173590851647,-0.407814632890042,0.0,Normal,-0.50017,highest average PM2.5 among clusters,0
Bangalore,2015-01-20,2015,1,January,Q1,20,Tuesday,Winter,0,4,2015-01,465.8,185.2,172.6,75.5,71.7,2.2,6.13,49.3,127.4,156.9,Moderate,52.01,Medium,2.5151187904967607,1.0529986052998606,2,51.8,347.5428571428571,315.555,-299.9,0,-0.9848158523706835,0.4973732614454488,0.0,Normal,-0.49966,highest average PM2.5 among clusters,0
Bangalore,2015-01-21,2015,1,January,Q1,21,Wednesday,Winter,0,4,2015-01,21.2,271.6,43.0,46.7,91.6,20.2,1.16,40.6,183.6,238.1,Poor,35.91,Low,0.07805596465390278,0.5098253275109171,1,35.8,359.37142857142857,311.8666666666667,81.19999999999999,0,0.646175053159566,-0.2286633148143882,0.0,Normal,-0.51492,highest average PM2.5 among clusters,0
Bangalore,2015-01-22,2015,1,January,Q1,22,Thursday,Winter,0,4,2015-01,180.2,53.0,90.6,132.1,226.1,9.3,6.29,2.7,125.7,346.4,Very Poor,46.19,Medium,3.4,0.5842547545333923,2,46.3,351.7571428571428,313.43636363636364,108.29999999999998,1,-2.05051841661823,-2.201537114407038,0.0,Normal,-0.51641,lowest average PM2.5 among clusters,0
Bangalore,2015-01-23,2015,1,January,Q1,23,Friday,Winter,0,4,2015-01,469.0,122.7,156.3,104.5,94.6,34.2,6.35,84.1,151.6,175.8,Moderate,65.75,High,3.822330888345558,1.1046511627906976,4,65.8,325.4142857142857,307.45217391304345,-170.59999999999997,0,-1.1845810855496433,1.6997134940110623,0.0,Normal,-0.50191,highest average PM2.5 among clusters,0
Bangalore,2015-01-24,2015,1,January,Q1,24,Saturday,Winter,1,4,2015-01,172.9,579.7,80.7,21.4,93.2,6.2,6.28,50.8,159.2,340.8,Very Poor,47.63,Medium,0.2982577195100914,0.22961373390557938,2,47.5,307.57142857142856,308.84166666666664,165.0,0,0.8982775017104232,-0.10563135239181377,0.0,Normal,-0.50182,highest average PM2.5 among clusters,0
Bangalore,2015-01-25,2015,1,January,Q1,25,Sunday,Winter,1,4,2015-01,219.2,22.7,7.2,121.4,75.0,31.6,6.53,95.3,58.6,376.4,Very Poor,46.14,Medium,9.656387665198238,1.6186666666666667,2,46.2,298.7428571428572,311.54400000000004,35.599999999999966,0,-0.7137462344759923,1.4352712979654325,0.0,Normal,-0.53399,highest average PM2.5 among clusters,0
Bangalore,2015-01-26,2015,1,January,Q1,26,Monday,Winter,0,5,2015-01,274.2,119.4,78.8,34.3,35.9,19.5,0.31,79.3,20.4,424.2,Severe,31.44,Low,2.296482412060301,0.9554317548746518,1,31.5,294.0857142857143,315.87692307692305,47.80000000000001,0,1.1060842397385715,1.4692105190417268,0.0,Normal,-0.52123,highest average PM2.5 among clusters,0
Bangalore,2015-01-27,2015,1,January,Q1,27,Tuesday,Winter,0,5,2015-01,469.0,203.6,6.7,120.8,224.1,27.3,4.59,65.7,110.2,169.2,Moderate,58.06,Medium,2.3035363457760316,0.5390450691655511,3,58.1,295.84285714285716,310.44444444444446,-255.0,1,-1.9035159976241525,0.5257062217146046,0.0,Normal,-0.51729,lowest average PM2.5 among clusters,0
Bangalore,2015-01-28,2015,1,January,Q1,28,Wednesday,Winter,0,5,2015-01,447.1,152.5,38.3,131.8,91.2,12.1,8.66,30.7,172.3,209.4,Poor,54.0,Medium,2.9318032786885246,1.4451754385964912,4,54.1,291.74285714285713,306.8357142857143,40.20000000000002,0,-2.6603718354326724,0.23538361818428744,0.0,Normal,-0.5266,highest average PM2.5 among clusters,0
Bangalore,2015-01-29,2015,1,January,Q1,29,Thursday,Winter,0,5,2015-01,258.8,95.3,145.4,77.9,13.3,13.3,6.48,16.4,150.5,408.8,Severe,42.3,Medium,2.715634837355719,5.857142857142858,1,42.1,300.65714285714284,310.35172413793106,199.4,0,-0.873011243559319,-0.08396547579387692,0.0,Normal,-0.49063,highest average PM2.5 among clusters,0
Bangalore,2015-01-30,2015,1,January,Q1,30,Friday,Winter,0,5,2015-01,17.6,418.7,166.1,62.8,46.6,44.5,8.19,85.4,94.4,385.8,Very Poor,57.82,Medium,0.04203486983520421,1.3476394849785407,4,57.9,330.65714285714284,312.8666666666667,-23.0,0,1.8648037295850262,0.688672348571628,0.0,Normal,-0.53175,highest average PM2.5 among clusters,0
Bangalore,2015-01-31,2015,1,January,Q1,31,Saturday,Winter,1,5,2015-01,327.5,71.1,73.7,105.1,203.7,3.0,6.85,4.4,28.9,477.5,Severe,39.9,Low,4.606188466947961,0.5159548355424645,1,39.7,350.18571428571425,317.4566666666667,91.69999999999999,1,-1.8726130474719422,-1.7070918208257138,0.0,Normal,-0.52646,lowest average PM2.5 among clusters,0
Bangalore,2015-02-01,2015,2,February,Q1,1,Sunday,Winter,1,5,2015-02,245.6,397.9,73.9,91.1,212.8,46.1,1.84,59.0,6.3,396.6,Very Poor,52.33,Medium,0.617240512691631,0.4281015037593984,2,52.3,353.07142857142856,321.76000000000005,-80.89999999999998,1,0.8797655594509322,-0.2605685371153863,0.0,Normal,-0.50855,lowest average PM2.5 among clusters,0
Bangalore,2015-02-02,2015,2,February,Q1,2,Monday,Winter,0,6,2015-02,265.2,8.8,63.5,97.5,21.2,15.6,1.71,41.5,85.7,415.2,Severe,32.49,Low,30.136363636363633,4.599056603773585,0,32.4,351.7857142857143,321.6233333333333,18.599999999999966,0,-0.4806574306535759,0.5113805074248783,0.0,Normal,-0.50462,highest average PM2.5 among clusters,0
Bangalore,2015-02-03,2015,2,February,Q1,3,Tuesday,Winter,0,6,2015-02,413.9,371.0,153.5,37.8,117.5,6.5,8.55,56.1,132.0,326.1,Very Poor,57.13,Medium,1.1156334231805929,0.32170212765957445,3,57.0,374.2,324.30333333333334,-89.09999999999997,0,-0.49760002996932623,0.4271955948223247,0.0,Normal,-0.49141,highest average PM2.5 among clusters,0
Bangalore,2015-02-04,2015,2,February,Q1,4,Wednesday,Winter,0,6,2015-02,76.2,253.1,58.5,88.6,8.2,4.4,4.31,46.3,79.7,203.1,Poor,31.9,Low,0.3010667720268669,10.804878048780488,0,31.8,373.3,317.28,-123.00000000000003,0,0.6765937286190691,-0.26682975654066393,0.0,Normal,-0.50476,highest average PM2.5 among clusters,0
